,code,N,meaning,codeID,path,path_meaning,Biomarker,parallel_group,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
codeD233,D233,78,D23.3 Skin of other and unspecified parts of face,codeD233,D23,D23 Other benign neoplasms of skin,codeD233,8,0,0,0,NaN,-0.143938058118758,0.177676845956543,NA
codeD234,D234,38,D23.4 Skin of scalp and neck,codeD234,D23,D23 Other benign neoplasms of skin,codeD234,8,0,0,0,NaN,0.144532318979511,0.2049189645903,NA
codeD235,D235,99,D23.5 Skin of trunk,codeD235,D23,D23 Other benign neoplasms of skin,codeD235,8,0,0,0,NaN,0.183837188721767,0.182795752582138,NA
codeD236,D236,52,D23.6 Skin of upper limb- including shoulder,codeD236,D23,D23 Other benign neoplasms of skin,codeD236,8,0,0,0,NaN,0.403482271523156,0.302572821828325,NA
codeD237,D237,67,D23.7 Skin of lower limb- including hip,codeD237,D23,D23 Other benign neoplasms of skin,codeD237,8,574,14044,0,-2.14589030701752,-1.23213469677997,1.59393737483193,0.32562680176779
codeD24,D24,176,D24 Benign neoplasm of breast,codeD24,D24,D24 Benign neoplasm of breast,codeD24,8,0,0,0,NaN,0.122240130281893,0.263370568162175,NA
codeD250,D250,155,D25.0 Submucous leiomyoma of uterus,codeD250,D25,D25 Leiomyoma of uterus,codeD250,8,211,0,0,-0.961359577702062,-0.675641935596885,1.32900312153768,0.0659153824149612
codeD251,D251,123,D25.1 Intramural leiomyoma of uterus,codeD251,D25,D25 Leiomyoma of uterus,codeD251,8,2170,12141,0,-1.49321573999081,-0.839395978884021,1.47458908957744,0.136451004577332
codeD252,D252,96,D25.2 Subserosal leiomyoma of uterus,codeD252,D25,D25 Leiomyoma of uterus,codeD252,8,10943,25203,0,-1.63586510106336,-1.32403395362545,2.65584864702681,0.232396669589132
codeD259,D259,940,D25.9 Leiomyoma of uterus- unspecified,codeD259,D25,D25 Leiomyoma of uterus,codeD259,8,0,0,0,NaN,-0.127490729535157,0.376289989621258,NA
codeD27,D27,177,D27 Benign neoplasm of ovary,codeD27,D27,D27 Benign neoplasm of ovary,codeD27,8,0,0,0,NaN,-0.0938484610455348,0.239464166334986,NA
codeD320,D320,45,D32.0 Cerebral meninges,codeD320,D32,D32 Benign neoplasm of meninges,codeD320,9,0,0,0,NaN,-0.0417600585466529,0.108403842442316,NA
codeD34,D34,34,D34 Benign neoplasm of thyroid gland,codeD34,D34,D34 Benign neoplasm of thyroid gland,codeD34,9,0,0,0,NaN,-0.748153945867055,0.516254557502803,NA
codeD350,D350,33,D35.0 Adrenal gland,codeD350,D35,D35 Benign neoplasm of other and unspecified endocrine glands,codeD350,9,0,0,0,NaN,-0.855481669622168,0.602586150958326,NA
codeD351,D351,84,D35.1 Parathyroid gland,codeD351,D35,D35 Benign neoplasm of other and unspecified endocrine glands,codeD351,9,21,0,0,-1.47449684102768,-0.567083742212257,0.584956906067569,0.159048344287943
codeD352,D352,54,D35.2 Pituitary gland,codeD352,D35,D35 Benign neoplasm of other and unspecified endocrine glands,codeD352,9,9,0,0,-2.04762793287944,-0.787050351721413,0.624592776137261,0.0922497189060668
codeD361,D361,62,D36.1 Peripheral nerves and autonomic nervous system,codeD361,D36,D36 Benign neoplasm of other and unspecified sites,codeD361,9,0,0,0,NaN,0.0707500666917837,0.114621710007458,NA
codeD367,D367,33,D36.7 Other specified sites,codeD367,D36,D36 Benign neoplasm of other and unspecified sites,codeD367,9,0,0,0,NaN,0.0286125035647281,0.123538073085491,NA
codeD374,D374,57,D37.4 Colon,codeD374,D37,D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,codeD374,9,0,0,0,NaN,-0.366635745819667,0.283407514348514,NA
codeD375,D375,44,D37.5 Rectum,codeD375,D37,D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,codeD375,9,0,0,0,NaN,-0.689351201322998,0.567322032866826,NA
codeD377,D377,31,D37.7 Other digestive organs,codeD377,D37,D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,codeD377,9,0,0,0,NaN,-0.551266311745395,0.342590204107161,NA
codeD414,D414,72,D41.4 Bladder,codeD414,D41,D41 Neoplasm of uncertain or unknown behaviour of urinary organs,codeD414,9,0,0,0,NaN,-0.433168694171643,0.396167253953499,NA
codeD45,D45,42,D45 Polycythaemia vera,codeD45,D45,D45 Polycythaemia vera,codeD45,9,1932,4856,0,-2.40355479813533,-1.0770811999137,0.82060667288303,0.161271972913205
codeD469,D469,50,D46.9 Myelodysplastic syndrome- unspecified,codeD469,D46,D46 Myelodysplastic syndromes,codeD469,9,1,0,0,1.65847781678838,0.0410090352853668,0.170524081883094,NA
codeD472,D472,63,D47.2 Monoclonal gammopathy,codeD472,D47,D47 Other neoplasms of uncertain or unknown behaviour of lymphoid- haematopoietic and related tissue,codeD472,9,0,0,0,NaN,0.149129438497323,0.230101045576112,NA
codeD473,D473,67,D47.3 Essential (haemorrhagic) thrombocythaemia,codeD473,D47,D47 Other neoplasms of uncertain or unknown behaviour of lymphoid- haematopoietic and related tissue,codeD473,9,0,0,0,NaN,-0.0167820169544326,0.155064646478562,NA
codeD481,D481,40,D48.1 Connective and other soft tissue,codeD481,D48,D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites,codeD481,9,274,0,0,1.89365371837649,1.03051470983148,0.936894624396972,0.111052318194734
codeD485,D485,33,D48.5 Skin,codeD485,D48,D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites,codeD485,9,0,0,0,NaN,0.291699025993444,0.249947081112309,NA
codeD500,D500,76,D50.0 Iron deficiency anaemia secondary to blood loss (chronic),codeD500,D50,D50 Iron deficiency anaemia,codeD500,9,0,0,0,NaN,-0.734009118936365,0.896188963662009,NA
