,Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula,Sub_group,miss,miss_p,miss_Sub_group,HVGs,HVGs.more,HVGs.less,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
Total_C,Total_C,Total Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23400,23700,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC,VLDL_C + IDL_C + LDL_C + HDL_C,Cholesterol Cholesterol,2630,0.0213545092116695,0.01720888097036,FALSE,FALSE,FALSE,Cholesterol_,1,0.976956844025058,25606,26995,756,0.173777236021957,0.16379863667724,3.98469355696681,0.0459621321936836
non_HDL_C,non_HDL_C,Total Cholesterol Minus HDL-C,mmol/L,Cholesterol,,Composite,TRUE,23401,23701,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + IDL_CE + IDL_FC,Total_C - HDL_C,Cholesterol Cholesterol,2630,0.0213545092116695,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.980038673264451,25875,27360,67,0.156122062768962,0.147874307343069,3.28361152766392,0.0409641219667046
Remnant_C,Remnant_C,Remnant Cholesterol (Non-HDL- Non-LDL -Cholesterol),mmol/L,Cholesterol,,Composite,TRUE,23402,23702,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC,Total_C - HDL_C - LDL_C,Cholesterol Cholesterol,2630,0.0213545092116695,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.979132784997324,24240,25823,0,0.146655863703821,0.135017266853715,2.77352457917241,0.0354996537004688
VLDL_C,VLDL_C,VLDL Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23403,23703,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC,XXL_VLDL_C + XL_VLDL_C + L_VLDL_C + M_VLDL_C + S_VLDL_C + XS_VLDL_C,Cholesterol Cholesterol,1989,0.0161498550654033,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.98249163161305,7538,0,0,0.118303040064455,0.0753156417817691,1.10869217112845,0.0206732984092966
Clinical_LDL_C,Clinical_LDL_C,Clinical LDL Cholesterol,mmol/L,Cholesterol,,Non-derived,TRUE,23404,23704,,,Cholesterol Cholesterol,1348,0.010945200919137,0.01720888097036,FALSE,TRUE,TRUE,Cholesterol_,1,0.979136667660625,28384,28821,1555,0.173727336026569,0.171743451258872,4.26511679603304,0.049134097413994
LDL_C,LDL_C,LDL Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23405,23705,L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC,L_LDL_C + M_LDL_C + S_LDL_C,Cholesterol Cholesterol,1622,0.0131699672780714,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.979888056807771,26606,27891,343,0.161661426512893,0.155189486464387,3.60725167096053,0.0444191700231418
HDL_C,HDL_C,HDL Cholesterol,mmol/L,Cholesterol,,Composite,TRUE,23406,23706,XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC,XL_HDL_C + L_HDL_C + M_HDL_C + S_HDL_C,Cholesterol Cholesterol,1987,0.0161336158949001,0.01720888097036,FALSE,TRUE,FALSE,Cholesterol_,1,0.976100549480497,9912,7781,0,0.132350449236964,0.0774247152644652,1.13652872204368,0.0268333712969529
Total_TG,Total_TG,Total Triglycerides,mmol/L,Triglycerides,,Composite,TRUE,23407,23707,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG,VLDL_TG + IDL_TG + LDL_TG + HDL_TG,Triglycerides Triglycerides,2753,0.0223532181976145,0.0150821296048198,FALSE,TRUE,TRUE,Triglycerides_,1,0.971804104771756,10825,7025,0,-0.117867751095358,-0.0871868931825584,1.34004884460832,0.0370505909012955
VLDL_TG,VLDL_TG,Triglycerides in VLDL,mmol/L,Triglycerides,,Composite,TRUE,23408,23708,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG,Triglycerides Triglycerides,1648,0.0133810764946127,0.0150821296048198,FALSE,TRUE,TRUE,Triglycerides_,1,0.972840606953086,8932,5064,0,-0.117456931260929,-0.0811693864336061,1.19960120434955,0.0378039142288135
LDL_TG,LDL_TG,Triglycerides in LDL,mmol/L,Triglycerides,,Composite,TRUE,23409,23709,L_LDL_TG + M_LDL_TG + S_LDL_TG,L_LDL_TG + M_LDL_TG + S_LDL_TG,Triglycerides Triglycerides,1562,0.0126827921629763,0.0150821296048198,FALSE,FALSE,FALSE,Triglycerides_,1,0.970874180274741,6916,2883,0,-0.111569764307421,-0.0734313334814783,1.00197344971164,0.032027026502983
HDL_TG,HDL_TG,Triglycerides in HDL,mmol/L,Triglycerides,,Composite,TRUE,23410,23710,XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG,XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG,Triglycerides Triglycerides,1467,0.0119114315640757,0.0150821296048198,FALSE,TRUE,FALSE,Triglycerides_,2,0.956539786632386,22725,24639,0,-0.122796580209429,-0.114244591821896,2.09713840241235,0.0317684041506419
Total_PL,Total_PL,Total Phospholipids in Lipoprotein Particles,mmol/L,Phospholipids,,Composite,TRUE,23411,23711,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL + IDL_PL + L_LDL_PL + M_LDL_PL + S_LDL_PL + XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL,VLDL_PL + IDL_PL + LDL_PL + HDL_PL,Phospholipids Phospholipids,2542,0.02063998570953,0.0154211222890735,FALSE,FALSE,FALSE,Phospholipids_,2,0.977019786072764,10200,4985,0,0.117137037680454,0.0727943502785973,1.13628935802109,0.0200080164367635
VLDL_PL,VLDL_PL,Phospholipids in VLDL,mmol/L,Phospholipids,,Composite,TRUE,23412,23712,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL,Phospholipids Phospholipids,1715,0.0139250887064689,0.0154211222890735,FALSE,TRUE,FALSE,Phospholipids_,2,0.979489934320123,45,0,0,0.13147727644392,0.00974937281058535,0.225114768162091,0.0324813533715854
LDL_PL,LDL_PL,Phospholipids in LDL,mmol/L,Phospholipids,,Composite,TRUE,23413,23713,L_LDL_PL + M_LDL_PL + S_LDL_PL,L_LDL_PL + M_LDL_PL + S_LDL_PL,Phospholipids Phospholipids,1624,0.0131862064485746,0.0154211222890735,FALSE,FALSE,FALSE,Phospholipids_,2,0.978919932120798,25926,27373,100,0.157181300807863,0.149108852345601,3.34378109905545,0.0428679258273998
HDL_PL,HDL_PL,Phospholipids in HDL,mmol/L,Phospholipids,,Composite,TRUE,23414,23714,XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL,XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL,Phospholipids Phospholipids,1716,0.0139332082917205,0.0154211222890735,FALSE,FALSE,FALSE,Phospholipids_,2,0.979613812157001,1461,0,0,-0.0571522075380364,-0.00959319408717779,0.278324405557829,0.120788278773941
Total_CE,Total_CE,Total Esterified Cholesterol,mmol/L,Cholesteryl esters,,Composite,TRUE,23415,23715,XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE,VLDL_CE + IDL_CE + LDL_CE + HDL_CE,Cholesteryl esters Cholesteryl esters,2079,0.0168806177380459,0.0142823504575386,FALSE,FALSE,FALSE,Cholesteryl esters_,2,0.976917896700736,25495,26842,944,0.177176637085565,0.166536439643261,4.09945601783511,0.0468560450068515
VLDL_CE,VLDL_CE,Cholesteryl Esters in VLDL,mmol/L,Cholesteryl esters,,Composite,TRUE,23416,23716,XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE,XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE,Cholesteryl esters Cholesteryl esters,1714,0.0139169691212173,0.0142823504575386,FALSE,TRUE,FALSE,Cholesteryl esters_,2,0.98253410780174,17362,17908,0,0.126085291364974,0.102259580845637,1.75885438809405,0.0259977632503911
LDL_CE,LDL_CE,Cholesteryl Esters in LDL,mmol/L,Cholesteryl esters,,Composite,TRUE,23417,23717,L_LDL_CE + M_LDL_CE + S_LDL_CE,L_LDL_CE + M_LDL_CE + S_LDL_CE,Cholesteryl esters Cholesteryl esters,1531,0.0124310850201772,0.0142823504575386,FALSE,TRUE,FALSE,Cholesteryl esters_,2,0.980385907188085,24099,25770,3,0.152388731324261,0.140025856843439,3.02283374522204,0.0388653321912741
HDL_CE,HDL_CE,Cholesteryl Esters in HDL,mmol/L,Cholesteryl esters,,Composite,TRUE,23418,23718,XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE,XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE,Cholesteryl esters Cholesteryl esters,1712,0.0139007299507141,0.0142823504575386,FALSE,TRUE,FALSE,Cholesteryl esters_,2,0.975969273083311,10621,8497,0,0.132038009297927,0.0802311527552571,1.21000176341737,0.0265487760634374
Total_FC,Total_FC,Total Free Cholesterol,mmol/L,Free cholesterol,,Composite,TRUE,23419,23719,XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC,VLDL_FC + IDL_FC + LDL_FC + HDL_FC,Free cholesterol Free cholesterol,2541,0.0206318661242784,0.015782443832769,FALSE,FALSE,FALSE,Free cholesterol_,2,0.977128669265118,25506,27019,357,0.164594438977512,0.15502101695068,3.59601151549866,0.0427172592881448
VLDL_FC,VLDL_FC,Free Cholesterol in VLDL,mmol/L,Free cholesterol,,Composite,TRUE,23420,23720,XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC,XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC,Free cholesterol Free cholesterol,1805,0.0146558513791116,0.015782443832769,FALSE,TRUE,FALSE,Free cholesterol_,2,0.981208411974854,524,0,0,0.124122231868379,0.0374747361705042,0.431742481155046,0.0220483781796021
LDL_FC,LDL_FC,Free Cholesterol in LDL,mmol/L,Free cholesterol,,Composite,TRUE,23421,23721,L_LDL_FC + M_LDL_FC + S_LDL_FC,L_LDL_FC + M_LDL_FC + S_LDL_FC,Free cholesterol Free cholesterol,1531,0.0124310850201772,0.015782443832769,FALSE,TRUE,FALSE,Free cholesterol_,2,0.978851274643389,28873,29005,3907,0.191408021792681,0.190898725964003,5.18279548083082,0.0534599791962049
HDL_FC,HDL_FC,Free Cholesterol in HDL,mmol/L,Free cholesterol,,Composite,TRUE,23422,23722,XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC,XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC,Free cholesterol Free cholesterol,1898,0.015410972807509,0.015782443832769,FALSE,FALSE,FALSE,Free cholesterol_,2,0.975148710687473,7486,5302,0,0.130680470640708,0.0645556853012211,0.865406209851029,0.0257108007097615
Total_L,Total_L,Total Lipids in Lipoprotein Particles,mmol/L,Total lipids,,Composite,TRUE,23423,23723,XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG,VLDL_L + IDL_L + LDL_L + HDL_L,Total lipids Total lipids,3363,0.0273061652010815,0.0208044073108746,FALSE,FALSE,FALSE,Total lipids_,2,0.97977512863694,11831,9363,0,0.116642909882801,0.0795825711016978,1.28623966316609,0.0197636895751431
VLDL_L,VLDL_L,Total Lipids in VLDL,mmol/L,Total lipids,,Composite,TRUE,23424,23724,XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG,XXL_VLDL_L + XL_VLDL_L + L_VLDL_L + M_VLDL_L + S_VLDL_L + XS_VLDL_L,Total lipids Total lipids,2446,0.0198605055253778,0.0208044073108746,FALSE,TRUE,TRUE,Total lipids_,2,0.975823723614707,401,0,0,-0.107825203530992,-0.0189390292580521,0.242445031893046,0.0282077698266155
LDL_L,LDL_L,Total Lipids in LDL,mmol/L,Total lipids,,Composite,TRUE,23425,23725,L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG,L_LDL_L + M_LDL_L + S_LDL_L,Total lipids Total lipids,1992,0.016174213821158,0.0208044073108746,FALSE,TRUE,FALSE,Total lipids_,2,0.979805760750529,24613,26273,15,0.154353546112645,0.143136503420779,3.13972955590221,0.0402295729961002
HDL_L,HDL_L,Total Lipids in HDL,mmol/L,Total lipids,,Composite,TRUE,23426,23726,XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG,XL_HDL_L + L_HDL_L + M_HDL_L + S_HDL_L,Total lipids Total lipids,2448,0.0198767446958809,0.0208044073108746,FALSE,FALSE,FALSE,Total lipids_,2,0.977782597710032,3246,0,0,0.0989551380893828,0.0239293159272606,0.420644425901257,0.0561030352768111
Total_P,Total_P,Total Concentration of Lipoprotein Particles,mmol/L,Lipoprotein particle concentrations,,Composite,TRUE,23427,23727,XXL_VLDL_P + XL_VLDL_P + L_VLDL_P + M_VLDL_P + S_VLDL_P + XS_VLDL_P + IDL_P + L_LDL_P + M_LDL_P + S_LDL_P + XL_HDL_P + L_HDL_P + M_HDL_P + S_HDL_P,VLDL_P + IDL_P + LDL_P + HDL_P,Lipoprotein particle concentrations Lipoprotein particle concentrations,2532,0.0205587898570141,0.0157459056991369,FALSE,FALSE,FALSE,Lipoprotein particle concentrations_,2,0.979281614951757,4857,1377,0,0.113778277933115,0.0490830930723074,0.753193593459819,0.0189093943504796
VLDL_P,VLDL_P,Concentration of VLDL Particles,mmol/L,Lipoprotein particle concentrations,,Composite,TRUE,23428,23728,XXL_VLDL_P + XL_VLDL_P + L_VLDL_P + M_VLDL_P + S_VLDL_P + XS_VLDL_P,XXL_VLDL_P + XL_VLDL_P + L_VLDL_P + M_VLDL_P + S_VLDL_P + XS_VLDL_P,Lipoprotein particle concentrations Lipoprotein particle concentrations,1899,0.0154190923927606,0.0157459056991369,FALSE,FALSE,FALSE,Lipoprotein particle concentrations_,2,0.979508895752346,549,0,0,0.119172069728468,0.0395645735160199,0.468608770390287,0.0224217670779314
LDL_P,LDL_P,Concentration of LDL Particles,mmol/L,Lipoprotein particle concentrations,,Composite,TRUE,23429,23729,L_LDL_P + M_LDL_P + S_LDL_P,L_LDL_P + M_LDL_P + S_LDL_P,Lipoprotein particle concentrations Lipoprotein particle concentrations,1621,0.0131618476928199,0.0157459056991369,FALSE,FALSE,FALSE,Lipoprotein particle concentrations_,3,0.984121788929108,26535,27659,108,0.155154290821076,0.14821155608498,3.1901827554462,0.0422046432043918
HDL_P,HDL_P,Concentration of HDL Particles,mmol/L,Lipoprotein particle concentrations,,Composite,TRUE,23430,23730,XL_HDL_P + L_HDL_P + M_HDL_P + S_HDL_P,XL_HDL_P + L_HDL_P + M_HDL_P + S_HDL_P,Lipoprotein particle concentrations Lipoprotein particle concentrations,1705,0.013843892853953,0.0157459056991369,FALSE,FALSE,FALSE,Lipoprotein particle concentrations_,3,0.980008006900994,2742,0,0,0.0969882033331126,0.025613202224199,0.480063297223092,0.0423745259248445
VLDL_size,VLDL_size,Average Diameter for VLDL Particles,nm,Lipoprotein particle sizes,,Non-derived,TRUE,23431,23731,,,Lipoprotein particle sizes Lipoprotein particle sizes,276,0.00224100552943756,0.00245211474597878,FALSE,FALSE,FALSE,Lipoprotein particle sizes_,3,0.976302870004834,12164,9284,0,-0.120737815359464,-0.090005771451378,1.39635482133836,0.0342332140405146
LDL_size,LDL_size,Average Diameter for LDL Particles,nm,Lipoprotein particle sizes,,Non-derived,TRUE,23432,23732,,,Lipoprotein particle sizes Lipoprotein particle sizes,539,0.0043764564506045,0.00245211474597878,FALSE,FALSE,FALSE,Lipoprotein particle sizes_,3,0.945893538810459,23288,24775,0,0.137405643843332,0.126179900802223,2.51857393556715,0.0305648827928348
HDL_size,HDL_size,Average Diameter for HDL Particles,nm,Lipoprotein particle sizes,,Non-derived,TRUE,23433,23733,,,Lipoprotein particle sizes Lipoprotein particle sizes,91,0.000738882257894267,0.00245211474597878,FALSE,FALSE,FALSE,Lipoprotein particle sizes_,3,0.970486033457417,10325,8889,0,0.132474552839926,0.0798168595310927,1.02842301320432,0.0281349626122242
Phosphoglyc,Phosphoglyc,Phosphoglycerides,mmol/L,Other lipids,,Non-derived,TRUE,23434,23734,,,Other lipids Other lipids,1790,0.0145340576003378,0.0161774616552587,FALSE,FALSE,FALSE,Other lipids_,3,0.981454425581833,1025,0,0,0.104512339016097,0.0209550435735277,0.413470297743859,0.0136128777865232
TG_by_PG,TG_by_PG,Triglycerides to Phosphoglycerides ratio,ratio,Other lipids,,Ratio,TRUE,23435,23735,(XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG) / Phosphoglyc,Total_TG / Phosphoglyc,Other lipids Other lipids,2984,0.0242288423907307,0.0161774616552587,FALSE,TRUE,FALSE,Other lipids_,3,0.975767462417994,19425,20487,0,-0.13118095090605,-0.108802249227922,1.9539190407318,0.0336051987605386
Cholines,Cholines,Total Cholines,mmol/L,Other lipids,,Non-derived,TRUE,23436,23736,,,Other lipids Other lipids,1883,0.0152891790287352,0.0161774616552587,FALSE,FALSE,FALSE,Other lipids_,3,0.977873557311426,6667,1453,0,0.11424464814568,0.060984311898908,0.894297432784769,0.0199496361687393
Phosphatidylc,Phosphatidylc,Phosphatidylcholines,mmol/L,Other lipids,,Non-derived,TRUE,23437,23737,,,Other lipids Other lipids,1699,0.0137951753424435,0.0161774616552587,FALSE,FALSE,FALSE,Other lipids_,3,0.98092162852727,3798,0,0,0.110163800428984,0.0454653741370072,0.643169431850518,0.0194658753962527
Sphingomyelins,Sphingomyelins,Sphingomyelins,mmol/L,Other lipids,,Non-derived,TRUE,23438,23738,,,Other lipids Other lipids,1606,0.0130400539140461,0.0161774616552587,FALSE,FALSE,FALSE,Other lipids_,3,0.971647693827428,21055,21846,5,0.155795738421767,0.133199349131947,2.67700749116846,0.0343510150040779
ApoB,ApoB,Apolipoprotein B,g/l,Apolipoproteins,,Non-derived,TRUE,23439,23739,,,Apolipoproteins Apolipoproteins,1621,0.0131618476928199,0.0132511631305873,FALSE,TRUE,FALSE,Apolipoproteins_,3,0.982886483419761,25957,27269,3,0.150874047646224,0.142803413386115,3.00352496626402,0.0395113622734085
ApoA1,ApoA1,Apolipoprotein A1,g/l,Apolipoproteins,,Non-derived,TRUE,23440,23740,,,Apolipoproteins Apolipoproteins,1468,0.0119195511493273,0.0132511631305873,FALSE,FALSE,FALSE,Apolipoproteins_,3,0.979548504430318,2116,0,0,0.069221160125148,0.0109092929048111,0.337236009344916,0.0853311100727855
ApoB_by_ApoA1,ApoB_by_ApoA1,Apolipoprotein B to Apolipoprotein A1 ratio,ratio,Apolipoproteins,,Ratio,TRUE,23441,23741,ApoB / ApoA1,ApoB / ApoA1,Apolipoproteins Apolipoproteins,1807,0.0146720905496147,0.0132511631305873,FALSE,TRUE,FALSE,Apolipoproteins_,3,0.985912846170628,21035,22540,0,0.139125442244008,0.118807488660711,2.107488539225,0.0339879560047494
Total_FA,Total_FA,Total Fatty Acids,mmol/L,Fatty acids,,Composite,TRUE,23442,23742,Omega_3 + Omega_6 + MUFA + SFA,PUFA + MUFA + SFA,Fatty acids Fatty acids,2068,0.0167913023002785,0.0112546473348364,FALSE,TRUE,TRUE,Fatty acids_,3,0.979758756388234,956,0,0,-0.110671986867027,-0.0265141321001479,0.229211234548209,0.0302055868508537
Unsaturation,Unsaturation,Degree of Unsaturation,degree,Fatty acids,,Non-derived,TRUE,23443,23743,,,Fatty acids Fatty acids,269,0.00218416843267646,0.0112546473348364,FALSE,FALSE,FALSE,Fatty acids_,3,0.958963890600661,16611,16787,0,0.128443835071986,0.103500184998461,1.74422592781003,0.0320258621851038
Omega_3,Omega_3,Omega-3 Fatty Acids,mmol/L,Fatty acids,,Non-derived,TRUE,23444,23744,,,Fatty acids Fatty acids,999,0.00811146566633376,0.0112546473348364,FALSE,TRUE,FALSE,Fatty acids_,3,0.963101423268845,3229,0,0,-0.108001936084724,-0.0651818429167387,0.841235398979303,0.0227729963564978
Omega_6,Omega_6,Omega-6 Fatty Acids,mmol/L,Fatty acids,,Non-derived,TRUE,23445,23745,,,Fatty acids Fatty acids,1700,0.0138032949276951,0.0112546473348364,FALSE,FALSE,FALSE,Fatty acids_,3,0.983477461132487,19500,20149,0,0.13876199580858,0.11579360277606,2.22107534472587,0.0295989609208057
PUFA,PUFA,Polyunsaturated Fatty Acids,mmol/L,Fatty acids,,Composite,TRUE,23446,23746,Omega_3 + Omega_6,Omega_3 + Omega_6,Fatty acids Fatty acids,1700,0.0138032949276951,0.0112546473348364,FALSE,FALSE,FALSE,Fatty acids_,3,0.984935709793005,10880,7699,0,0.118539216377202,0.0788905896990511,1.20877348067827,0.020151325445445
MUFA,MUFA,Monounsaturated Fatty Acids,mmol/L,Fatty acids,,Non-derived,TRUE,23447,23747,,,Fatty acids Fatty acids,1522,0.0123580087529129,0.0112546473348364,FALSE,TRUE,TRUE,Fatty acids_,3,0.963400599682862,8620,4830,0,-0.117293150129979,-0.0805238308308571,1.16279540926505,0.0375586064107907
SFA,SFA,Saturated Fatty Acids,mmol/L,Fatty acids,,Non-derived,TRUE,23448,23748,,,Fatty acids Fatty acids,1609,0.0130644126698008,0.0112546473348364,FALSE,TRUE,FALSE,Fatty acids_,3,0.974727694670136,4273,0,0,-0.10891980538483,-0.0621683403665615,0.750375736572432,0.0278770364072017
LA,LA,Linoleic Acid,mmol/L,Fatty acids,,Non-derived,TRUE,23449,23749,,,Fatty acids Fatty acids,1609,0.0130644126698008,0.0112546473348364,FALSE,FALSE,FALSE,Fatty acids_,3,0.981598283224318,26192,27264,161,0.160508336788438,0.153006105933576,3.55066982775673,0.04191677693435
DHA,DHA,Docosahexaenoic Acid,mmol/L,Fatty acids,,Non-derived,TRUE,23450,23750,,,Fatty acids Fatty acids,999,0.00811146566633376,0.0112546473348364,FALSE,TRUE,FALSE,Fatty acids_,4,0.959323855632065,9,0,0,-0.113606288009644,-0.0176857455816424,0.2271708802404,0.0335196164198589
Omega_3_pct,Omega_3_pct,Omega-3 Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23451,23751,Omega_3 / (Omega_3 + Omega_6 + MUFA + SFA) * 100,Omega_3 / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,TRUE,TRUE,Fatty acids_Fatty acid ratios,4,0.949021398185025,1720,0,0,-0.111995980047163,-0.0596210872445915,0.740917085559181,0.0194346600768472
Omega_6_pct,Omega_6_pct,Omega-6 Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23452,23752,Omega_6 / (Omega_3 + Omega_6 + MUFA + SFA) * 100,Omega_6 / Total_FA * 100,Fatty acids Fatty acid ratios,2068,0.0167913023002785,0.0159763911986648,FALSE,TRUE,TRUE,Fatty acids_Fatty acid ratios,4,0.963115100746433,29038,29041,5890,0.224266042591731,0.224257402128847,6.53706575742297,0.0461939438116656
