met,PValue,adjPVal,logFC
M_HDL_FC_pct_C,0.763,0.815,-0.015
M_HDL_L,0.485,0.567,-0.035
M_HDL_P,0.939,0.954,-0.004
M_HDL_PL,0.213,0.284,-0.062
M_HDL_PL_pct,0.0,0.0,-0.191
M_HDL_TG,0.004,0.009,-0.134
M_HDL_TG_pct,0.016,0.03,-0.115
M_LDL_C,0.006,0.014,0.126
M_LDL_CE,0.025,0.045,0.104
M_LDL_CE_pct,0.439,0.522,-0.036
M_LDL_CE_pct_C,0.002,0.005,-0.146
M_LDL_C_pct,0.001,0.002,0.159
M_LDL_FC,0.0,0.0,0.178
M_LDL_FC_by_CE,0.002,0.005,0.146
M_LDL_FC_pct,0.0,0.001,0.176
M_LDL_FC_pct_C,0.002,0.005,0.146
M_LDL_L,0.011,0.022,0.118
M_LDL_P,0.021,0.039,0.107
M_LDL_PL,0.005,0.012,0.129
M_LDL_PL_pct,0.172,0.237,0.063
M_LDL_TG,0.092,0.139,-0.078
M_LDL_TG_pct,0.0,0.0,-0.216
M_VLDL_C,0.0,0.001,0.176
M_VLDL_CE,0.0,0.0,0.215
M_VLDL_CE_pct,0.0,0.0,0.231
M_VLDL_CE_pct_C,0.0,0.0,0.234
M_VLDL_C_pct,0.0,0.0,0.228
M_VLDL_FC,0.008,0.017,0.123
M_VLDL_FC_by_CE,0.001,0.002,-0.158
M_VLDL_FC_pct,0.0,0.0,0.222
M_VLDL_FC_pct_C,0.0,0.0,-0.23
M_VLDL_L,0.222,0.294,0.057
M_VLDL_P,0.055,0.09,0.089
M_VLDL_PL,0.036,0.062,0.097
M_VLDL_PL_pct,0.0,0.0,0.221
M_VLDL_TG,0.416,0.499,-0.038
M_VLDL_TG_pct,0.0,0.0,-0.218
Omega_3,0.03,0.053,-0.104
Omega_3_pct,0.038,0.065,-0.099
Omega_3_pct_PUFA,0.001,0.003,-0.156
Omega_6,0.005,0.012,0.131
Omega_6_by_Omega_3,0.004,0.009,0.137
Omega_6_pct,0.0,0.0,0.242
Omega_6_pct_PUFA,0.001,0.002,0.162
