,Biomarker,Cell.Type,Standard.Abbreviation,Long.Name,Found,Vicki_names,Unit,Measured...Derived,Determination,Description_long,nmiss,ninf,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
Red.blood.cell..erythrocyte..distribution.width,Red.blood.cell..erythrocyte..distribution.width,Mature red cell,RDW,Red cell distribution width,v,erythrocyteDistWidth,fL,Measured,CV of impedance measured red cell volume distribution,Coefficient of variation of red cell volume distribution,0,0,Mature red cell,2,0.975232001998935,27141,27719,4080,-0.0910445670995726,-0.0874993503545214,4.07506672596752,0.0249735748610471
Reticulocyte.count,Reticulocyte.count,Immature red cell,RET#,Reticulocyte count,v,reticulocyteCount,pL,Derived,(RET%×RBC#)/100,Count of reticulocytes per unit volume of blood,0,3,Immature red cell,2,0.973493706649802,28962,29029,25797,-0.148110550641727,-0.147889140412291,10.6225191501855,0.0265328084211888
Reticulocyte.percentage,Reticulocyte.percentage,Immature red cell,RET%,Reticulocyte fraction of red cells,v,reticulocytePerc,%,Measured,Flow cytometry/impedance gates,Percentage of red blood cells that are reticulocytes,0,0,Immature red cell,2,0.977598627285698,28967,29034,25460,-0.14740822658608,-0.147202608176085,10.6827445456072,0.0293161446370504
Immature.reticulocyte.fraction,Immature.reticulocyte.fraction,Immature red cell,IRF,Immature fraction of reticulocytes,v,immatureReticulocyteFrac,-,Derived,HLSR#/RET#,Fraction of reticulocytes with high RNA content- as measured by light scatter,0,17,Immature red cell,2,0.988142929998036,29041,29041,25778,-0.157605648367895,-0.157605648367895,12.6407223449599,0.0322348608088901
High.light.scatter.reticulocyte.count,High.light.scatter.reticulocyte.count,Immature red cell,HLR#,High light scatter reticulocyte count,v,HLSReticulocyteCount,per pL,Derived,(HLSR%×RBC#)/100%,Count of high RNA content (immature) reticulocytes per unit volume of blood,0,44,Immature red cell,2,0.984378085485478,29041,29041,27714,-0.173273321458814,-0.173273321458814,14.563856289429,0.0320153197170649
High.light.scatter.reticulocyte.percentage,High.light.scatter.reticulocyte.percentage,Immature red cell,HLR%,High light scatter reticulocyte percentage of red cells,v,HLSReticulocytePerc,%,Measured,Flow cytometry/impedance gates,Immature reticulocyte count as a percentage of red blood cell count,0,15,Immature red cell,2,0.986413465301977,29041,29041,27524,-0.172650648201167,-0.172650648201167,14.6436134840504,0.0342107365729229
Mean.reticulocyte.volume,Mean.reticulocyte.volume,Immature red cell,MRV,Mean reticulocyte volume,v,meanReticulocyteVol,fL,Derived,(MCVxRET%)/100%,Mean volume of reticulocyte cells,0,0,Immature red cell,2,0.978173150518185,3397,2267,0,-0.0703823931565941,-0.0181115108235826,0.283266454905492,0.0107171019888468
Monocyte.count,Monocyte.count,Myeloid white cell,MONO#,Monocyte count,v,monocyteCount,per nL,Derived,(MONO%×WBC#)/100%,Count of monocytes per unit volume of blood,0,141,Myeloid white cell,2,0.99622668009045,25539,26511,7942,-0.112942991521676,-0.103605549920704,4.19643224798888,0.0491633613702548
Neutrophill.count,Neutrophill.count,Myeloid white cell,NEUT#,Neutrophil count,v,neutrophilCount,per nL,Derived,(NEUT%×WBC#)/100%,Count of neutrophils per unit volume of blood,0,6,Myeloid white cell,2,0.990055786889754,28241,28489,14892,-0.129025840913983,-0.126724396950296,7.39651140121529,0.0418659850984358
Eosinophill.count,Eosinophill.count,Myeloid white cell,EO#,Eosinophil count,v,eosinophilCount,per nL,Derived,(EO%×WBC#)/100%,Count of eosinophils per unit volume of blood,0,13487,Myeloid white cell,2,0.981955130924359,17890,19782,0,-0.0691993260259355,-0.0556976632375107,2.06788407808541,0.0171566954618439
Basophill.count,Basophill.count,Myeloid white cell,BASO#,Basophil count,v,basophilCount,per nL,Derived,(BASO%×WBC#)/100%,Count of basophils per unit volume of blood,0,134376,Myeloid white cell,2,0.751149365503421,1143,0,0,0.0775954398185756,0.0235537969504954,0.64060033669149,0.0175360199793665
Lymphocyte.count,Lymphocyte.count,Lymphoid white cell,LYMPH#,Lymphocyte count,v,lymphocyteCount,per nL,Derived,(LYMPH%×WBC#)/100%,Aggregate count of lymphoid cells per unit volume of blood,0,6,Lymphoid white cell,2,0.989336131940559,20420,22014,4295,-0.0879698653757826,-0.0716414515572047,2.57742615445329,0.0365489855200697
White.blood.cell..leukocyte..count,White.blood.cell..leukocyte..count,Compound white cell,WBC#,White blood cell count,NA,leukocyteCount,per nL,Measured,Impedance,Aggregate count of white cells per unit volume of blood,0,2,Compound white cell,2,0.996205958956585,28451,28616,21241,-0.15546078720747,-0.153198661147059,10.4521594794625,0.0546744001263265
Monocyte.percentage,Monocyte.percentage,Compound white cell,MONO%,Monocyte percentage of white cells,v,monocytePerc,%,Measured,Flow cytometry gates,Percentage of white cells that are monocytes,0,15,Compound white cell,2,0.972884442906077,273,0,0,0.0453764584075957,0.00613322824379223,0.376825969779871,0.0170952288351397
Neutrophill.percentage,Neutrophill.percentage,Compound white cell,NEUT%,Neutrophil percentage of white cells,v,neutrophilPerc,%,Measured,Flow cytometry gates,Percentage of white cells that are neutrophils,0,3,Compound white cell,2,0.79939771663593,2825,0,0,-0.0521841980618186,-0.0331237258479279,0.941195644179096,0.00470646380943098
Eosinophill.percentage,Eosinophill.percentage,Compound white cell,EO%,Eosinophil percentage of white cells,v,eosinophilPerc,%,Measured,Flow cytometry gates,Percentage of white cells that are eosinophils,0,714,Compound white cell,2,0.894599808043979,152,0,0,-0.0711031254373802,-0.0137229509267049,0.276849941398666,0.00460147614655964
Basophill.percentage,Basophill.percentage,Compound white cell,BASO%,Basophil percentage of white cells,v,basophilPerc,%,Measured,Flow cytometry gates,Percentage of white cells that are basophils,0,1678,Compound white cell,2,0.916274118337128,0,0,0,NaN,0.00816089140121853,0.182750439981096,NA
Lymphocyte.percentage,Lymphocyte.percentage,Compound white cell,LYMPH%,Lymphocyte percentage of white cells,v,lymphocytePerc,%,Measured,Flow cytometry gates,Percentage of white cells that are lymphocytes,0,3,Compound white cell,2,0.884497342182674,21072,24297,0,0.0646264375020186,0.0572015409349116,2.15078725049499,0.0110849567044574
immune.inflammation.index,immune.inflammation.index,Inflammation Markers,SII,immune inflammation index,v,plateletCount,Ratio,Derived,NA,immune inflammation index,0,0,Inflammation Markers,3,0.869138158852688,6150,2553,0,-0.0576287992552219,-0.037138920751735,1.09323240646387,0.00839865637125831
neutrophil.to.lymphocyte.ratio,neutrophil.to.lymphocyte.ratio,Inflammation Markers,NLR,neutrophil to lymphocyte ratio,NA,thrombocyteVol,Ratio,Derived,NA,neutrophil to lymphocyte ratio,0,0,Inflammation Markers,3,0.840645173845951,9895,5173,0,-0.0574302840193634,-0.0448557233637605,1.47942922278051,0.00744086807602913
platelet.to.lymphocyte.ratio,platelet.to.lymphocyte.ratio,Inflammation Markers,PLR,platelet to lymphocyte ratio,v,plateletDistWidth,Ratio,Derived,NA,platelet to lymphocyte ratio,0,0,Inflammation Markers,3,0.95818580541429,19355,22262,697,0.0759851030477243,0.0641838193088861,2.15498582082807,0.0253110118168515
lymphocyte.to.monocytes.ratio,lymphocyte.to.monocytes.ratio,Inflammation Markers,LMR,lymphocyte to monocytes ratio,v,plateletCrit,Ratio,Derived,NA,lymphocyte to monocytes ratio,0,0,Inflammation Markers,3,0.981874246643218,4939,2605,0,0.0706262267983316,0.033565759910508,0.793375579172886,0.0112020156094121
